"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1309","沛陂社區公園","22","1","土城區","20240523190941","24.963289","121.419672","土城區三民路23巷8弄(公園裡面)","Tucheng Dist.","Peipo Community Park","Aly. 8, Ln. 23, Sanmin Rd., Tucheng Dist","21","1"
"1312","龍鳳公園","10","0","新莊區","20240523190918","25.021447","121.416497","新莊區龍安路72號對面(公園人行道)","Xinzhuang Dist.","Longfeng Park","No.72, Long’an Rd., Xinzhuang Dist.(oppsite)","9","1"
"1313","伊吉邦社區","10","0","新莊區","20240523190938","25.030186","121.413402","新莊區新北大道7段312號(人行道)","Xinzhuang Dist.","Yijibang","No.312, Sec. 7, New Taipei Blvd., Xinzhuang Dist","10","1"
"1314","三多第1市民活動中心","22","0","樹林區","20240523190918","25.016361","121.404257","樹林區福興街17號(活動中心前機車格)","Shulin Dist.","First of Sanduo Civil Activity Center","No.17, Fuxing St., Shulin Dist","20","1"
"1315","新北高工","32","1","土城區","20240523190940","24.982770","121.449900","新北市土城區學府路一段241號","Tucheng Dist.","New Taipei Industrial Vocational High School","No.241, Sec. 1, Xuefu Rd., Tucheng Dist","30","1"
"1317","長風社區","10","1","土城區","20240523190937","24.978108","121.439369","土城區中華路二段91~95號(人行道)","Tucheng Dist.","Changfeng Community","No.91~95, Sec. 2, Zhonghua Rd., Tucheng Dist","5","1"
"1320","民生親子公園","14","1","樹林區","20240523190927","24.992983","121.428196","新北市樹林區保安街一段/保安街一段14巷","Shulin Dist.","Minsheng Parent-child Park","No.1, Ln. 14, Sec. 1, Bao’an St., Shulin Dist","12","1"
"1321","樹林工業區","20","1","樹林區","20240523190939","25.000868","121.416091","樹林區保安街二段6號(前面廣場)(鄰近樹林興仁花園夜市)","Shulin Dist.","Shulin industrial zone","No.6, Sec. 2, Bao’an St., Shulin Dist.(square)","19","1"
"1322","龍埔公園","18","4","三峽區","20240523190937","24.938911","121.373676","新北市三峽區國光街85號","Sanxia Dist.","Longpu Park","No.85, Guoguang St., Sanxia Dist","14","1"
"1323","尖山國中","24","6","鶯歌區","20240523190931","24.944300","121.342089","鶯歌區國中街1號(人行道)","Yingge Dist.","Municipal Jianshan Junior High School","No.1, Guozhong St., Yingge Dist(sidewalk)","13","1"
"1325","浮洲火車站","18","0","板橋區","20240523190919","25.004098","121.444447","板橋區僑中二街/大觀路一段38巷(自行車停放區內)","Banqiao Dist.","Fuzhou Train Station","No.90, Ln. 38, Sec. 1, Daguan Rd./Qiaozhong 2nd St., Banqiao Dist.","18","1"
"1326","捷運海山站(1號出口)","50","3","土城區","20240523190926","24.984695","121.448504","土城區海山路(捷運海山站1號出口人行道)","Tucheng Dist.","MRT Haishan","Haishan Rd., Tucheng Dist.(MRT Haishan 1)","47","1"
"1332","台北得意GO","16","0","五股區","20240523190937","25.074424","121.467852","五股區四維路116號(人行道)","Wugu Dist.","Taipei Deyi GO","No. 116, Siwei Rd., Wugu Dist.","14","1"
"1334","太陽公園","18","1","三重區","20240523190920","25.086448","121.485599","三重區三賢街203號(對面汽車格)(鄰近蘆洲兒童親子分館)","Sanchong Dist.","Taiyang Park","No.203, Sanxian St., Sanchong Dist","17","1"
"1335","三重五常公園","10","0","三重區","20240523190938","25.080648","121.496149","三重區五華街7巷(對面公園人行道)","Sanchong Dist.","Wuchang Park(Sanchong Dist)","Ln. 7, Wuhua St., Sanchong Dist","10","1"
"1336","三德公園","12","1","三重區","20240523190934","25.074974","121.500542","三重區仁和街205號(斜對面公園人行道)","Sanchong Dist.","Sante Park","No.205, Renhe St., Sanchong Dist","11","1"
"1337","力行大勇街口","10","0","三重區","20240523190944","25.071928","121.481508","三重區力行路/大勇街口(路側)","Sanchong Dist.","Lixing & Tayung Intersection","Sec. 1, Lixing Rd., Sanchong Dist.,/,Dayong St., Sanchong Dist.(oppsite)","10","1"
"1338","蘆洲延平派出所","10","2","蘆洲區","20240523190928","25.081620","121.461620","蘆洲區長安街102巷5弄12號(對面)","Luzhou Dist.","Luzhou Yanping Police Station","No.12, Aly. 5, Ln. 102, Chang’an St., Luzhou Dist.","8","1"
"1339","永安南路九芎街71巷口","20","0","蘆洲區","20240523190938","25.077564","121.466071","蘆洲區永安南路/九芎街71巷口(對面人行道)","Luzhou Dist.","Yong' an S. Rd. & Ln. 71, Jiuqiong St Intersection","No.1, Sec. 2, Yong’an S. Rd., Luzhou Dist/No.1, Ln. 71, Jiuqiong St.","19","1"
"1344","樹林國小","22","0","樹林區","20240523190916","24.989136","121.41791","樹林區啟智街/文化街口(啟智街129號)","Shulin Dist.","Shulin elementary school","Wenhua St./Qizhi St., Shulin Dist., New Taipei City","19","1"
"1345","永吉國小","30","13","鶯歌區","20240523190938","24.958747","121.333095","鶯歌區德昌二街39號(對面人行道)","Yingge Dist.","Yongchi elementary school","No.39, Dechang 2nd St., Yingge Dist.","17","1"
"1346","中園國小","16","8","三峽區","20240523190917","24.927551","121.366919","三峽區弘園街55號(對面人行道)","Sanxia Dist.","Zhongyuan elementary school","No.55, Hongyuan St., Sanxia Dist","8","1"
"1347","介壽國小","18","10","三峽區","20240523190945","24.930341","121.378835","三峽區介壽路一段/大同路口(人行道)","Sanxia Dist.","Jieshou elementary school","No.1, Sec. 1, Jieshou Rd., Sanxia Dist./ Datong Rd.","5","1"
"1348","安溪國中","26","15","三峽區","20240523190938","24.926790","121.371957","三峽區中正路一段/大同路(人行道路橋旁)","Sanxia Dist.","Ansi Junior High School","Zhongzheng Road Section / Datong Road (next to the sidewalk)","10","1"
"1349","龍埔國小","18","5","三峽區","20240523190922","24.941224","121.376763","三峽區大學路47號(對面人行道)","Sanxia Dist.","Longpu elementary school","No.47, Daxue Rd., Sanxia Dist.","13","1"
"1350","大安路與中山路二段口","28","0","樹林區","20240523190940","24.983043","121.411318","樹林區大安路622號(前人行道)","Shulin Dist.","Daan & Sec.2 Zhongshan Intersection","No. 622, Daan Rd., Shulin Dist.","26","1"
"1351","樹林區公所","28","0","樹林區","20240523190928","24.989760","121.424780","樹林區博愛街198-1~198-5號(對面人行道)","Shulin Dist.","Shulin District Office","No.198-1~198-5, Bo’ai St., Shulin Dist.","28","1"
"1352","蘆洲重陽大樓","14","0","蘆洲區","20240523190920","25.085055","121.481887","重陽二街22號(對面人行道)(鄰近蘆洲兒童親子分館)","Luzhou Dist.","Luzhou Chongyang Building","No.22, Chongyang 2nd St., Luzhou Dist.","14","1"
"1356","亞洲員安路口","22","2","土城區","20240523190930","24.972621","121.434796","亞洲路94號(對面人行道)(鄰近大黑松小倆口牛軋糖博物館)","Tucheng Dist.","Yazhou & Yuan'an Rd.","No. 94, Yazhou Rd., Tucheng Dist.","18","1"
"1359","味王街","24","4","樹林區","20240523190939","24.974674","121.404424","味王街3號(馬路側)","Shulin Dist.","St. Weiwang","No. 3, Weiwang Street, Shulin Dist.","20","1"
"1360","福基公園","10","0","新莊區","20240523190941","25.058100","121.460892","福美街128巷12號","Xinzhuang Dist.","Zhenyi Village Park","No.12, Ln. 128, Fumei St., Xinzhuang Dist.","10","1"
"1362","安溪國小","24","7","三峽區","20240523190928","24.930621","121.372344","中華路61號(對面路側)(鄰近李梅樹紀念館)","Sanxia Dist.","Anxi Elementary School","No.61, Zhonghua Rd., Sanxia Dist.","11","1"
"1368","昌隆國小","18","0","新莊區","20240523190933","25.052129","121.454891","昌平街/昌平街31巷(對面昌隆國小人行道)","Xinzhuang Dist.","Changlong Elementary School","Changping Street / Changping Street 31 Lane (opposite the Changlong Primary School sidewalk)","17","1"
"1369","捷運新莊副都心站","20","1","新莊區","20240523190928","25.059145","121.446614","新莊區新北大道四段/中信街口(捷運副都心站2號出口)","Xinzhuang Dist.","MRT Xinzhuang Fuduxin Sta.","Sec. 4, New Taipei Blvd./Zhongxin St., Xinzhuang Dist.","16","1"
"1373","捷運新北產業園區站","20","0","新莊區","20240523190922","25.062029","121.459184","新莊區五工路55號","Xinzhuang Dist.","MRT New Taipei Industrial Park Sta.","No.55, Wugong Rd., Xinzhuang Dist.","18","1"
"1374","捷運泰山貴和站","16","1","泰山區","20240523190936","25.033192","121.422215","泰山區新北大道6段/貴陽街(貴陽街12號對面捷運站)","Taishan Dist.","MRT Taishan Guihe Sta.","Sec. 6, New Taipei Blvd./No.12, Guiyang St., Taishan Dist.","3","1"
"1380","中正北路193巷(愛買三重店)","10","1","三重區","20240523190942","25.071362","121.475985","中正北路193巷45號(賣場停車場)","Sanchong Dist.","Ln. 193, Zhongzheng N. Rd(A.Mart Sanchong)","No.45, Ln. 193, Zhongzheng N. Rd., Sanchong Dist.","9","1"
"1381","翔譽雙子星","8","0","三重區","20240523190935","25.053638","121.492924","中正南路251號(右側人行道)","Sanchong Dist.","Xiang Yu Twin Towers","No.251, Zhongzheng S. Rd., Sanchong Dist.","8","1"
"1382","明志科技大學","36","2","泰山區","20240523190916","25.040434","121.422548","工專路84號對面人行道","Taishan Dist.","Ming Chi University Of Technology","No.84, Gongzhuan Rd., Taishan Dist.","34","1"
