" ",341099,0.171836902070311
"e",185420,0.093409826419535
"t",135597,0.068310280622423
"a",119314,0.060107324071947
"o",113202,0.057028255691642
"n",109860,0.055344642058301
"i",105197,0.052995542605198
"h",104604,0.052696804459007
"s",95309,0.048014222555385
"r",79458,0.040028896492522
"d",67942,0.034227431919944
"l",58818,0.029630995417669
"u",39784,0.020042155831490
"w",35422,0.017844692435728
"c",33432,0.016842181624732
"m",33396,0.016824045750765
"\n",33235,0.016742938092187
"g",32703,0.016474930176885
",",31544,0.015891055789979
"f",30690,0.015460832557521
"y",29599,0.014911214821442
"p",22538,0.011354064652376
".",19904,0.010027123207067
"b",19851,0.010000423170393
"v",18714,0.009427631817577
"k",14414,0.007261402426983
""",13959,0.007032185131001
"'",6655,0.003352617812652
"I",6614,0.003331963067300
"A",5283,0.002661439504770
"x",3419,0.001722404252661
"T",2863,0.001442305754714
"S",2849,0.001435252914838
"-",2529,0.001274045146236
"?",2373,0.001195456359042
"L",2143,0.001079588275359
"H",2067,0.001041301430316
"W",1870,0.000942057897770
";",1788,0.000900748407066
"!",1719,0.000865987981961
"B",1568,0.000789918066152
"V",1545,0.000778331257783
"q",1392,0.000701253793420
"j",1341,0.000675561305299
"K",1248,0.000628710297549
"P",1126,0.000567249835770
"z",1085,0.000546595090417
"Y",1059,0.000533496959218
"M",1007,0.000507300696821
"O",925,0.000465991206116
"D",920,0.000463472334732
"N",888,0.000447351557872
"C",693,0.000349115573880
"G",520,0.000261962623979
":",484,0.000243826750011
"E",441,0.000222164456105
"F",441,0.000222164456105
"R",312,0.000157177574387
"X",300,0.000151132283065
"(",149,0.000075062367255
")",149,0.000075062367255
"J",93,0.000046851007750
"U",48,0.000024181165290
"Z",34,0.000017128325414
"Q",21,0.000010579259815
"1",9,0.000004533968492
"8",7,0.000003526419938
"2",6,0.000003022645661
"7",6,0.000003022645661
"0",4,0.000002015097108
"3",4,0.000002015097108
"[",4,0.000002015097108
"]",4,0.000002015097108
"6",3,0.000001511322831
"5",2,0.000001007548554
"4",1,0.000000503774277
